"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Heat Metric","Absolute Threshold"
"13","Georgia","13011","Banks","1983","23","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1984","3","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1985","13","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1986","54","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1987","21","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1988","34","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1989","5","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1990","21","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1991","9","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1992","8","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1993","33","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1994","1","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1995","24","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1996","12","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13011","Banks","1997","7","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
